TowNum,Tow_Firm,Tow_Firm_Address,Tow_Firm_Phone,Vehicle_State,Vehicle_Plate,Vehicle_Year,Make,Model,Color,Tow_From_Address,Date,Time,geom
390009,CAPITOL TOWING,"181-211 WALNUT ST. HARTFORD, CT. 06120",860-293-2442,,,2004,CHRYSLER,CROSSFIRE,GRAY,LAWRENCE ST & RUSS ST,04172021,0302,"(41.76155819966404, -72.68796430878966)"
390008,,,860-296-1518,CT,4318X5,2013,BMW,650I,SILVER,379 FARMINGTON AV,04172021,0223,"(41.76695582685321, -72.7027312777892)"
390010,CAPITOL AUTOMOTIVE LLC,"971 CAPITOL AV. HARTFORD,CT 06106",860-236-2602,CT,196ZNL,2002,FORD,EXPLORER,RED,453 FAIRFIELD AV,04172021,0311,"(41.72661031692772, -72.69156555562226)"
390107,,,860-246-7616,CT,AC84112,2013,HYUNDAI,SONATA,BLACK,15 WEBSTER ST,04212021,0116,"(41.74366651181869, -72.68304301456838)"
389974,FRIENDLY AUTO BODY & TOWING,"99 MEADOW ST.  HARTFORD, CT. 06114",860-296-8588,,,2004,BMW,325I,BLK,WESTON ST & JENNINGS RD,04162021,0903,"(41.78894037372077, -72.66221700727658)"
389972,,,860-296-2826,CT,BB20046,2006,INFINITY,G35,BLUE,777 MAIN ST,04162021,0856,"(41.76607028886748, -72.674190063693)"
389973,,,860-296-2826,,,1999,NISSAN,ALTIMA,BROWN,100 WESTON ST,04162021,0859,"(41.78815520664176, -72.66197660838989)"
389975,METRO AUTOBODY & TOWING INC,722 WETHERSFIELD AV  HARTFORD CT 06114,860-947-3062,,,2006,NISSAN,MURANO,GOLD,1200 PARK ST,04162021,0907,"(41.759001844599695, -72.69908625018063)"
389971,CROSS COUNTRY AUTO,"585 WINDOSR ST. HARTFORD, CT 06120",860-296-2826,,,2000,TOYOTA,CAMRY,BLUE,127 GIRARD AV,04162021,0831,"(41.77095899861028, -72.7090451746938)"
390011,"CENTRAL AUTO & TRANSPORT, LLC","195 MAXIM RD. HARTFORD, CT 06114",860-246-7616,,,2008,MAZDA,3,BLUE,GARDEN ST & HOMESTEAD AV,04172021,0334,"(90.0, -72.75)"
390054,,,860-947-3062,CT,AT94251,2019,NISSAN,ROGUE,GREY,66 WEBSTER ST,04192021,0605,"(41.74531202347027, -72.68283302329309)"
389977,RENO'S AUTO BODY,"525 FRANKLIN AV. HARTFORD, CT 06114",860-296-1518,,,2005,HONDA,ACCORD,BLACK,9 FALES ST,04162021,1002,"(41.76488099985118, -72.70822752493903)"
389976,MODERN GARAGE,"100A,AIRPORT RD,HARTFORD,CT,06114",860-296-9663,CT,7AATH9,2000,TOYOTA,CAMRY,GREEN,500 HUDSON ST,04162021,0912,"(41.75669389459103, -72.67839330772803)"
390108,,,860-246-7616,CT,AT07693,2011,MERCEDEZ,ML350,WHITE,101 BENTON ST,04212021,0236,"(41.74679415868372, -72.67868718116043)"
389979,,,860-293-2442,KY,285ZVY,2019,NISSAN,SENTRA,SILVER,184 SIGOURNEY ST,04162021,1046,"(41.771755753352856, -72.69302503119347)"
389980,CAPITOL AUTOMOTIVE LLC,"971 CAPITOL AV. HARTFORD,CT 06106",860-236-2602,,,2002,CHEVY,MONTE CARL,BLK,38 BOND ST,04162021,1100,"(41.74473851306132, -72.6748840550654)"
